"","nome","pais","corrida","ano","horario","tempo","percurso","largada","chegada","data","pace","sexo"
"48","Victor Mora","Colômbia",48,1972,"1972-12-31 23:35:00",23.4,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero. Descida pela Brig. Luiz Antônio. Subida pela Rua da Consolação.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1972-12-31 12:00:00,2.62921348314607,"masculino"
"49","Victor Mora","Colômbia",49,1973,"1973-12-31 23:37:00",23.4166666666667,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero. Descida pela Brig. Luiz Antônio. Subida pela Rua da Consolação.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1973-12-31 12:00:00,2.6310861423221,"masculino"
"50","Rafael Angel Perez","Costa Rica",50,1974,"1974-12-31 23:38:00",23.9666666666667,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero. Descida pela Brig. Luiz Antônio. Subida pela Rua da Consolação.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1974-12-31 12:00:00,2.69288389513109,"masculino"
"51","Victor Mora","Colômbia",51,1975,"1975-12-31 23:38:00",23.2166666666667,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero. Descida pela Brig. Luiz Antônio. Subida pela Rua da Consolação.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1975-12-31 12:00:00,2.60861423220974,"masculino"
"52","Christa Valensieck","Alemanha",51,1975,"1975-12-31 23:38:00",28.65,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero. Descida pela Brig. Luiz Antônio. Subida pela Rua da Consolação.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1975-12-31 12:00:00,3.21910112359551,"feminino"
"53","Edmundo Warnke","Chile",52,1976,"1976-12-31 23:38:00",23.8333333333333,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero. Descida pela Brig. Luiz Antônio. Subida pela Rua da Consolação.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1976-12-31 12:00:00,2.67790262172285,"masculino"
"54","Christa Valensieck","Alemanha",52,1976,"1976-12-31 23:38:00",28.6,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero. Descida pela Brig. Luiz Antônio. Subida pela Rua da Consolação.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1976-12-31 12:00:00,3.21348314606742,"feminino"
"55","Domingo Tibaduiza","Colômbia",53,1977,"1977-12-31 23:38:00",23.9166666666667,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero. Descida pela Brig. Luiz Antônio. Subida pela Rua da Consolação.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1977-12-31 12:00:00,2.687265917603,"masculino"
"56","Loa Olafsson","Dinamarca",53,1977,"1977-12-31 23:38:00",27.25,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero. Descida pela Brig. Luiz Antônio. Subida pela Rua da Consolação.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1977-12-31 12:00:00,3.06179775280899,"feminino"
"57","Radhouane Bouster","França",54,1978,"1978-12-31 23:38:00",23.85,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero. Descida pela Brig. Luiz Antônio. Subida pela Rua da Consolação.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1978-12-31 12:00:00,2.67977528089888,"masculino"
"58","Dana Slater","Estados Unidos",54,1978,"1978-12-31 23:38:00",28.9166666666667,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero. Descida pela Brig. Luiz Antônio. Subida pela Rua da Consolação.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1978-12-31 12:00:00,3.24906367041199,"feminino"
"59","Herb Lindasy","Estados Unidos",55,1979,"1979-12-31 23:38:00",23.4333333333333,9000,"Av. Paulista 900 – Edifício Cásper Líbero – Descida pela Brig. L. Antônio.","Estádio Paulo Machado de Carvalho – Pacaembu.",1979-12-31 12:00:00,2.6037037037037,"masculino"
"60","Dana Slater","Estados Unidos",55,1979,"1979-12-31 23:38:00",29.1166666666667,9000,"Av. Paulista 900 – Edifício Cásper Líbero – Descida pela Brig. L. Antônio.","Estádio Paulo Machado de Carvalho – Pacaembu.",1979-12-31 12:00:00,3.23518518518519,"feminino"
"61","José João da Silva","Brasil",56,1980,"1980-12-31 23:38:00",23.6666666666667,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1980-12-31 12:00:00,2.65917602996255,"masculino"
"62","Heide Hutterer","Alemanha",56,1980,"1980-12-31 23:38:00",27.8,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1980-12-31 12:00:00,3.12359550561798,"feminino"
"63","Victor Mora","Colômbia",57,1981,"1981-12-31 23:38:00",23.5,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1981-12-31 12:00:00,2.64044943820225,"masculino"
"64","Rosa Mota","Portugal",57,1981,"1981-12-31 23:38:00",26.75,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1981-12-31 12:00:00,3.00561797752809,"feminino"
"65","Carlos Lopes","Portugal",58,1982,"1982-12-31 23:05:00",39.6833333333333,13548,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1982-12-31 12:00:00,2.92909162484007,"masculino"
"66","Rosa Mota","Portugal",58,1982,"1982-12-31 23:05:00",47.35,13548,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1982-12-31 12:00:00,3.49498080897549,"feminino"
"67","João da Mata","Brasil",59,1983,"1983-12-31 23:05:00",37.65,12600,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1983-12-31 12:00:00,2.98809523809524,"masculino"
"68","Rosa Mota","Portugal",59,1983,"1983-12-31 23:05:00",43.7333333333333,12600,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1983-12-31 12:00:00,3.47089947089947,"feminino"
"69","Carlos Lopes","Portugal",60,1984,"1984-12-31 23:05:00",36.7166666666667,12640,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1984-12-31 12:00:00,2.90479957805907,"masculino"
"70","Rosa Mota","Portugal",60,1984,"1984-12-31 23:05:00",43.5833333333333,12640,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1984-12-31 12:00:00,3.44804852320675,"feminino"
"71","José João da Silva","Brasil",61,1985,"1985-12-31 23:05:00",36.8,12640,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1985-12-31 12:00:00,2.91139240506329,"masculino"
"72","Rosa Mota","Portugal",61,1985,"1985-12-31 23:05:00",43,12640,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1985-12-31 12:00:00,3.40189873417722,"feminino"
"73","Rolando Vera","Equador",62,1986,"1986-12-31 23:05:00",36.75,12600,"","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1986-12-31 12:00:00,2.91666666666667,"masculino"
"74","Rosa Mota","Portugal",62,1986,"1986-12-31 23:05:00",43.4166666666667,12600,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1986-12-31 12:00:00,3.4457671957672,"feminino"
"75","Rolando Vera","Equador",63,1987,"1987-12-31 23:05:00",39.0333333333333,13000,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1987-12-31 12:00:00,3.0025641025641,"masculino"
"76","Martha Thenório","Equador",63,1987,"1987-12-31 23:05:00",46.45,13000,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1987-12-31 12:00:00,3.57307692307692,"feminino"
"77","Rolando Vera","Equador",64,1988,"1988-12-31 23:05:00",36.3833333333333,12630,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1988-12-31 12:00:00,2.88070731063605,"masculino"
"78","Aurora Cunha","Portugal",64,1988,"1988-12-31 20:30:00",42.2,12630,"","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1988-12-31 12:00:00,3.34125098970705,"feminino"
"79","Rolando Vera","Equador",65,1989,"1989-12-31 17:00:00",36.75,12650,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1989-12-31 12:00:00,2.90513833992095,"masculino"
"80","Maria Del Carmen Diaz","México",65,1989,"1989-12-31 14:30:00",43.8666666666667,12650,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1989-12-31 12:00:00,3.46772068511199,"feminino"
"81","Arturo Barrios","México",66,1990,"1990-12-31 17:00:00",35.9666666666667,12640,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1990-12-31 12:00:00,2.8454641350211,"masculino"
"82","Maria Del Carmen Diaz","México",66,1990,"1990-12-31 14:30:00",43.2666666666667,12640,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1990-12-31 12:00:00,3.42299578059072,"feminino"
"83","Arturo Barrios","México",67,1991,"1991-12-31 17:00:00",44.0666666666667,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1991-12-31 12:00:00,2.93777777777778,"masculino"
"84","Maria Luisa Servin","México",67,1991,"1991-12-31 15:15:00",54.0333333333333,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1991-12-31 12:00:00,3.60222222222222,"feminino"
"85","Simon Chemwoyo","Quênia",68,1992,"1992-12-31 17:00:00",44.1333333333333,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1992-12-31 12:00:00,2.94222222222222,"masculino"
"86","Maria Del Carmen Diaz","México",68,1992,"1992-12-31 15:15:00",54,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1992-12-31 12:00:00,3.6,"feminino"
